Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Study.type,MetaRef,Reference,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments,Method_comments,Location,Lat,Long
1854,Phalacrocorax pelagicus,Phalacrocorax pelagicus,Aves,Phalacrocoracidae,Dispersal,Natal,Distance,150000,m,Maximum,NA,NA,NA,Single observation,Mark-recapture,Individual,NA,NA,NA,NA,Flying,2029.9999999999998,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Hobson 1997,"Hobson, K. A. 1997. Pelagic Cormorant, Phalacrocorax  pelagicus. In A. Poole and F. Gill, editors. The Birds of  North America. Number 282. Academy of Natural Sciences,  Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA
1856,Cygnus olor,Cygnus olor,Aves,Anatidae,Dispersal,Natal,Distance,64000,m,Maximum,NA,NA,NA,Single observation,Mark-recapture,Individual,NA,NA,NA,NA,Flying,11800,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Ciaranca et al. 1997,"Ciaranca, M. A., C. C. Allin, and G. S. Jones. 1997. Mute  Swan, Cygnus olor. In A. Poole and F. Gill, editors. The  Birds of North America. Number 273. Academy of Natural  Sciences, Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference- Can we assume ringed?,NA,NA,NA
1858,Cygnus buccinator,Cygnus buccinator,Aves,Anatidae,Dispersal,Natal,Distance,128000,m,Maximum,NA,NA,NA,Single observation,Mark-recapture,Individual,NA,NA,NA,NA,Flying,11400,g,NA,Male,NA,Omnivore,Metastudy,Sutherland et al. 2000,Mitchell 1994,"Mitchell, C. D. 1994. Trumpeter Swan, Cygnus buccinator. In A. Poole and F. Gill, editors. The Birds of North America. Number 105. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - can we assume ringed?,NA,NA,NA
1860,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,28400,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,19,NA,NA,NA,Flying,3814,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Lessells 1985,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Assuming ringed?,NA,NA,NA
1861,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,2000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,19,NA,NA,NA,Flying,3814,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Lessells 1985,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA
1862,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,11200,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,20,NA,NA,NA,Flying,3314,g,NA,Female,NA,Herbivore,Metastudy,Sutherland et al. 2000,Lessells 1985,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA
1863,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,1500,m,Median,NA,NA,NA,Distance-density distribution,Mixed,Single study,20,NA,NA,NA,Flying,3314,g,NA,Female,NA,Herbivore,Metastudy,Sutherland et al. 2000,Lessells 1985,"Letnic, M. 2002. Long distance movements and the use of fire mosaics by small mammals in the  Simpson Desert, central Australia. Aust. Mammal., 23: 125-134.",https://doi.org/10.1071/AM01125,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA
1864,Aix sponsa,Aix sponsa,Aves,Anatidae,Dispersal,Natal,Distance,3800,m,Maximum,NA,NA,NA,Single observation,Mark-recapture,Individual,NA,NA,NA,NA,Flying,681,g,NA,Male,NA,Omnivore,Metastudy,Sutherland et al. 2000,Hepp and Bellrose 1995,"Hepp, G. R., and F. C. Bellrose. 1995. Wood Duck, Aix  sponsa. In A. Poole and F. Gill, editors. The Birds of North  America. Number 169. Academy of Natural Sciences,  Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA
1866,Bucephala clangula,Bucephala clangula,Aves,Anatidae,Dispersal,Natal,Distance,6000,m,Maximum,NA,NA,NA,Distance-density distribution,Mark-recapture,Single study,138,NA,NA,NA,Flying,800,g,NA,Female,NA,Omnivore,Metastudy,Sutherland et al. 2000,Dow and Fredga 1983,"Dow, H., and S. Fredga. 1983. Breeding and natal  dispersal of the goldeneye, Bucephala clangula. Journal of  Animal Ecology 52: 681-695.",https://doi.org/10.2307/4447,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Nest box study,NA,NA,NA
1867,Bucephala clangula,Bucephala clangula,Aves,Anatidae,Dispersal,Natal,Distance,750,m,Median,NA,NA,NA,Distance-density distribution,Mark-recapture,Single study,138,NA,NA,NA,Flying,800,g,NA,Female,NA,Omnivore,Metastudy,Sutherland et al. 2000,Dow and Fredga 1983,"Dow, H., and S. Fredga. 1983. Breeding and natal  dispersal of the goldeneye, Bucephala clangula. Journal of  Animal Ecology 52: 681-695.",https://doi.org/10.2307/4447,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA
