Event.ID,Species.ID,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.ref
54,Vulpes vulpes,Dispersal,Distance,302,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Allen & Sargeant 1993,
55,Vulpes vulpes,Dispersal,Distance,153,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Allen & Sargeant 1993,
56,Vulpes vulpes,Dispersal,Distance,25.33,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Allen. 1993,
57,Vulpes vulpes,Dispersal,Distance,35,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Allen. 1993,
58,Vulpes vulpes,Dispersal,Distance,5.67,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Allen. 1993,
59,Vulpes vulpes,Dispersal,Distance,19.67,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Allen. 1993,
61,Aplodontia rufa,Dispersal,Distance,326,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Arjo. Huenefeld & Nolte. 2007,
62,Aplodontia rufa,Dispersal,Distance,152.5,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Arjo. Huenefeld & Nolte. 2007,
63,Aplodontia rufa,Dispersal,Distance,142.7,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Arjo. Huenefeld & Nolte. 2007,
64,Aplodontia rufa,Dispersal,Distance,130.5,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Arjo. Huenefeld & Nolte. 2007,
65,Marmota flaviventris,Dispersal,Distance,6.4,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,
66,Marmota flaviventris,Dispersal,Distance,15.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,
67,Marmota flaviventris,Dispersal,Distance,0.4,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,
68,Marmota flaviventris,Dispersal,Distance,1.5,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,
69,Martes pennanti,Dispersal,Distance,22.6,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
70,Martes pennanti,Dispersal,Distance,23,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
71,Martes pennanti,Dispersal,Distance,14.92,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
72,Martes pennanti,Dispersal,Distance,17.3,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
73,Martes pennanti,Dispersal,Distance,15.1,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
74,Martes pennanti,Dispersal,Distance,17.7,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,
75,Castor canadensis,Dispersal,Distance,31,miles,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Beer. 1955,
76,Castor canadensis,Dispersal,Distance,11.29,miles,Mean,,,,Metastudy,Whitmee & Orme. 2013,Beer. 1955,
77,Castor canadensis,Dispersal,Distance,4.75,miles,Median,,,,Metastudy,Whitmee & Orme. 2013,Beer. 1955,
78,Mellivora capensis,Dispersal,Distance,53,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Begg et al. 2005,
79,Puma concolor,Dispersal,Distance,48,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Beier. 1995,
80,Puma concolor,Dispersal,Distance,77,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Beier. 1995,
81,Puma concolor,Dispersal,Distance,63.25,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Beier. 1995,
82,Puma concolor,Dispersal,Distance,69,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Beier. 1995,
83,Canis lupus,Dispersal,Distance,79,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
84,Canis lupus,Dispersal,Distance,432,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
85,Canis lupus,Dispersal,Distance,58,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
86,Canis lupus,Dispersal,Distance,183.4,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
87,Canis lupus,Dispersal,Distance,58,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
88,Canis lupus,Dispersal,Distance,146,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,
89,Canis lupus,Dispersal,Distance,45,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
90,Canis lupus,Dispersal,Distance,50,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
91,Canis lupus,Dispersal,Distance,32.5,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
92,Canis lupus,Dispersal,Distance,31.5,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
93,Canis lupus,Dispersal,Distance,36,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
94,Canis lupus,Dispersal,Distance,31,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,
95,Canis mesomelas,Dispersal,Distance,103,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Bothma. 1971,
96,Canis mesomelas,Dispersal,Distance,55.5,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Bothma. 1971,
97,Canis mesomelas,Dispersal,Distance,55.5,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Bothma. 1971,
98,Microtus arvalis,Dispersal,Distance,101.6,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Boyce & Boyce. 1988,
99,Canis lupus,Dispersal,Distance,254.9,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Boyd & Pletscher.  1999,
100,Canis lupus,Dispersal,Distance,96.3,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Boyd & Pletscher.  1999,
101,Crocuta crocuta,Dispersal,Distance,40,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Boydston et al. 2005,
102,Crocuta crocuta,Dispersal,Distance,6.8,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Boydston et al. 2005,
103,Lepus europaeus,Dispersal,Distance,17353,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Bray et al. 2007,
104,Lepus europaeus,Dispersal,Distance,1615,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Bray et al. 2007,
105,Hylobates lar,Dispersal,Distance,1400,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Brockelman et al. 1998,
106,Hylobates lar,Dispersal,Distance,1000,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Brockelman et al. 1998,
107,Hylobates lar,Dispersal,Distance,620,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Brockelman et al. 1998,
108,Hylobates lar,Dispersal,Distance,500,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Brockelman et al. 1998,
109,Chlorocebus aethiops,Dispersal,Distance,0.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Cheney & Seyfarth. 1983,
110,Ursus americanus,Dispersal,Distance,5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Costello. 2010,
111,Ursus americanus,Dispersal,Distance,62,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Costello. 2010,
112,Ursus americanus,Dispersal,Distance,3,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Costello. 2010,
113,Ursus americanus,Dispersal,Distance,38,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Costello. 2010,
114,Trichosurus vulpecula,Dispersal,Distance,11.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Cowan et al. 1996,
115,Trichosurus vulpecula,Dispersal,Distance,5.54,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Cowan et al. 1996,
116,Trichosurus vulpecula,Dispersal,Distance,4.5,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Cowan et al. 1996,
117,Thomomys bottae,Dispersal,Distance,300,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Daly & Patton. 1990,
118,Castor canadensis,Dispersal,Distance,8,km ,Maximum,,,,Metastudy,Whitmee & Orme. 2013,DeStefano et al. 2006,
119,Castor canadensis,Dispersal,Distance,3.5,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,DeStefano et al. 2006,
120,Peromyscus maniculatus,Dispersal,Distance,1005.84,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
121,Peromyscus maniculatus,Dispersal,Distance,883.92,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
122,Peromyscus maniculatus,Dispersal,Distance,132.87,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
123,Peromyscus maniculatus,Dispersal,Distance,188.6,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
124,Peromyscus maniculatus,Dispersal,Distance,776.2,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
125,Peromyscus maniculatus,Dispersal,Distance,137.16,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Dice & Howard. 1951,
126,Phascolarctos cinereus,Dispersal,Distance,10.6,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
127,Phascolarctos cinereus,Dispersal,Distance,9.7,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
128,Phascolarctos cinereus,Dispersal,Distance,3.4,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
129,Phascolarctos cinereus,Dispersal,Distance,3.5,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
130,Phascolarctos cinereus,Dispersal,Distance,1.7,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
131,Phascolarctos cinereus,Dispersal,Distance,2,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Dique et al. 2003,
132,Mustela erminea,Dispersal,Distance,1.01,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
133,Mustela erminea,Dispersal,Distance,5.51,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
134,Mustela erminea,Dispersal,Distance,0.51,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
135,Mustela erminea,Dispersal,Distance,2.73,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
136,Mustela erminea,Dispersal,Distance,0.49,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
137,Mustela erminea,Dispersal,Distance,1.81,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Erlinge. 1977,
138,Brachylagus idahoensis,Dispersal,Distance,11.9,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Estes-Zumpf & Rachlow 2009,
139,Brachylagus idahoensis,Dispersal,Distance,6.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Estes-Zumpf & Rachlow 2009,
140,Brachylagus idahoensis,Dispersal,Distance,2.9,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Estes-Zumpf & Rachlow. 2009,
141,Brachylagus idahoensis,Dispersal,Distance,1,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Estes-Zumpf & Rachlow. 2009,
142,Spermophilus beecheyi,Dispersal,Distance,1.14,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Evans & Holdenried 1943,
143,Spermophilus beecheyi,Dispersal,Distance,1.14,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Evans & Holdenried 1943,
144,Spermophilus beecheyi,Dispersal,Distance,0.43,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Evans. 1943,
145,Spermophilus beecheyi,Dispersal,Distance,0.48,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Evans. 1943,
146,Spermophilus beecheyi,Dispersal,Distance,0.41,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Evans. 1943,
147,Spermophilus beecheyi,Dispersal,Distance,0.41,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Evans. 1943,
148,Aotus azarae,Dispersal,Distance,962,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
149,Aotus azarae,Dispersal,Distance,2243,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
150,Aotus azarae,Dispersal,Distance,587.71,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
151,Aotus azarae,Dispersal,Distance,790.44,m,Mean,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
152,Aotus azarae,Dispersal,Distance,593,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
153,Aotus azarae,Dispersal,Distance,656,m,Median,,,,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,
154,Antechinus stuartii,Dispersal,Distance,270,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Fisher. 2005,
155,Antechinus stuartii,Dispersal,Distance,1230,m,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Fisher. 2005,
156,Panthera leo,Dispersal,Distance,21.9,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Funston et al. 2003,
157,Panthera leo,Dispersal,Distance,12.3,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Funston et al. 2003,
158,Panthera leo,Dispersal,Distance,13.85,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Funston et al. 2003,
159,Gulo gulo,Dispersal,Distance,378,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gardner et al. 1986,
160,Cynomys ludovicianus,Dispersal,Distance,3.9,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin 1988,
161,Cynomys ludovicianus,Dispersal,Distance,5.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin 1988,
162,Cynomys ludovicianus,Dispersal,Distance,1.66,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,
163,Cynomys ludovicianus,Dispersal,Distance,3.05,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,
164,Cynomys ludovicianus,Dispersal,Distance,1.3,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,
165,Cynomys ludovicianus,Dispersal,Distance,3.55,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,
166,Procyon lotor,Dispersal,Distance,33,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gehrt & Fritzell. 1998,
167,Procyon lotor,Dispersal,Distance,9.7,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Gehrt & Fritzell. 1998,
168,Neovison vison,Dispersal,Distance,45,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gerell 1970,
169,Neovison vison,Dispersal,Distance,33,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Gerell. 1970,
170,Neovison vison,Dispersal,Distance,33,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Gerell. 1970,
171,Canis lupus,Dispersal,Distance,354,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gese & Mech 1991,
172,Canis lupus,Dispersal,Distance,77,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Gese & Mech. 1991,
173,Canis lupus,Dispersal,Distance,35,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Gese & Mech. 1991,
174,Scapanus townsendii,Dispersal,Distance,0.856,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Giger 1973,
175,Scapanus townsendii,Dispersal,Distance,0.722,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Giger 1973,
176,Scapanus townsendii,Dispersal,Distance,0.181,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Giger. 1973,
177,Scapanus townsendii,Dispersal,Distance,0.166,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Giger. 1973,
178,Lepus americanus,Dispersal,Distance,16.5,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,
179,Lepus americanus,Dispersal,Distance,6.75,km,Maximum,,,,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,
180,Lepus americanus,Dispersal,Distance,3.1,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,
181,Lepus americanus,Dispersal,Distance,1.63,km,Mean,,,,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,
182,Lepus americanus,Dispersal,Distance,0.275,km,Median,,,,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,
