Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,39,69.5,80.20383693,,,2.64,3.9,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,14,44.5,79.72422062,,,2.64,4.1,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,35,54.5,79.48441247,,,2.64,4.2,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,21,134.5,79.00479616,,,2.64,4.4,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,5,109.5,79.00479616,,,2.64,4.4,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,50,174.5,79.00479616,,,2.64,4.4,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,174.5,79.00479616,,,2.64,4.4,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,50,134.5,78.76498801,,,2.64,4.5,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,89.5,78.76498801,,,2.64,4.5,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,23,134.5,78.52517986,,,2.64,4.6,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,,109.5,78.52517986,,,2.64,4.6,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,2,109.5,78.52517986,,,2.64,4.6,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,1,89.5,78.52517986,,,2.64,4.6,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,109.5,78.2853717,,,2.64,4.7,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,20,274.5,77.8057554,,,2.64,4.9,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,134.5,77.08633094,,,2.64,5.2,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,41,224.5,75.88729017,,,2.64,5.7,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,20,174.5,74.44844125,,,2.64,6.3,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,224.5,73.96882494,,,2.64,6.5,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,12,224.5,72.52997602,,,2.64,7.1,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,,274.5,69.17266187,,,2.64,8.5,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,20,274.5,69.17266187,,,2.64,8.5,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,174.5,65.33573141,,,2.64,10.1,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,224.5,63.17745803,,,2.64,11,0,paper
Clupea harengus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,274.5,61.01918465,,,2.64,11.9,0,paper
Clupea harengus,"Spitz, J., Mourocq, E., Schoen, V. & Ridoux, V. (2010) Short Communication Proximate composition and energy content of forage species from the Bay of Biscay: high- or low-quality food? ICES-short communication, 909_915.",46,-3,,227,30,3,218.294,62.8,18.6,10.7,3.6,10.2,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,40,89.5,80.624,,,2.84,3.6,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,80,69.5,80.35733333,,,2.84,3.7,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,11,109.5,80.09066667,,,2.84,3.8,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,46,134.5,80.09066667,,,2.84,3.8,0,paper
