SpecCode	Species	Weight
268	Abramis brama	6010
14737	Abramites eques	151
1119	Abudefduf saxatilis	200
16239	Aaptosyax grypus	30000
62612	Abalistes filamentosus	1375
55143	Abbottina obtusirostris	13.5
972	Ablennes hians	4800
57960	Acanthistius pictus	1862
67574	Acanthobrama orontis	57.380001068115234
67573	Acanthobrama thisbeae	203.88999938964844
89	Acanthocybium solandri	83000
55978	Acanthogobio guentheri	101
13045	Acanthogobius hasta	400
22525	Acanthogobius ommaturus	298
8109	Acanthopagrus australis	4500
5526	Acanthopagrus berda	3200
14601	Acanthopagrus butcheri	4000
67331	Acanthopagrus datnia	2000
6356	Acanthopagrus latus	1500
67330	Acanthopagrus morrisonae	2000
6531	Acanthopagrus schlegelii	3200
6583	Acanthopagrus sivicolus	2500
8836	Acanthopsetta nadeshnyi	1200
46831	Acanthorhodeus chankaensis	44.79999923706055
4287	Acanthostracion polygonium	152.39999389648437
943	Acanthurus chirurgus	5100
4274	Aluterus monoceros	2710
4275	Aluterus scriptus	2500
3018	Ameiurus catus	9750
291	Ameiurus melas	3620
3021	Ameiurus natalis	1920
3022	Ameiurus nebulosus	2740
4749	Acanthurus grammoptilus	1197
6011	Acanthurus nigricans	620
4747	Acanthurus nigricauda	2736
23015	Acantopsis dialuzona	50
11272	Acapoeta tanganicae	2250
12258	Acarichthys heckelii	276
12260	Acaronia nassa	189.89999389648437
4894	Acentrogobius caninus	51.599998474121094
54133	Acentrogobius chlorostigmatoides	29.489999771118164
23582	Acentrogobius moloanus	5.900000095367432
53309	Acestrocephalus sardina	74.55999755859375
63988	Acestrocephalus stigmatus	45
52919	Acestrorhynchus abbreviatus	310.29998779296875
23498	Acestrorhynchus falcatus	255
51077	Acestrorhynchus lacustris	290
12336	Acestrorhynchus microlepis	230
52503	Acestrorhynchus pantaneiro	396
54928	Acheilognathus barbatulus	24.350000381469727
54711	Acheilognathus gracilis	5.800000190734863
56321	Acheilognathus meridianus	23.899999618530273
22891	Acheilognathus rhombeus	32.20000076293945
54709	Acheilognathus tonkinensis	25.1299991607666
7572	Achirus achirus	1000
52941	Achirus declivis	90.19999694824219
4256	Achirus lineatus	29.5
14420	Achoerodus gouldii	39000
4683	Acipenser baerii	210000
2590	Acipenser brevirostrum	23000
2591	Acipenser fulvescens	125000
4712	Acipenser gueldenstaedtii	115000
2592	Acipenser medirostris	159000
2504	Acipenser naccarii	25000
2505	Acipenser nudiventris	80000
9763	Acipenser persicus	70000
4604	Acipenser ruthenus	16000
6085	Acipenser schrenckii	190000
8762	Acipenser sinensis	600000
2065	Acipenser stellatus	80000
2066	Acipenser sturio	400000
2594	Acipenser transmontanus	816000
26526	Acnodon normani	110
54949	Acrossocheilus clivosius	84.9000015258789
17291	Acrossocheilus paradoxus	111
54938	Acrossocheilus parallens	115.9000015258789
14481	Acrossocheilus yunnanensis	455.5
12278	Aequidens tetramerus	157
7037	Aethotaxis mitopteryx	563.5999755859375
8973	Aetobatus flagellum	13930
1250	Aetobatus narinari	230000
67276	Aetobatus narutobiei	14400
12600	Aetobatus ocellatus	200000
5011	Aetomylaeus bovinus	116000
47969	Ageneiosus inermis	3080
53698	Ageneiosus militaris	135
53704	Ageneiosus pardalis	972
48607	Ageneiosus ucayalensis	276
