Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Study.type,MetaRef,Reference,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments,Method_comments,Location,Lat,Long
2257,Anaxyrus americanus,Anaxyrus americanus,Amphibia,Bufonidae,Migration,NA,Distance,4023.36,m,Maximum,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,60,g,y,Both,NA,Cannibal,Metastudy,Trochet et al. 2014,AmphibiaWeb. 2010. 137. Holbrook. 1836. Hamilton. 1934,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2258,Anaxyrus americanus,Anaxyrus americanus,Amphibia,Bufonidae,Migration,NA,Distance,452.73,m,Mean,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,60,g,y,Both,NA,Cannibal,Metastudy,Trochet et al. 2014,AmphibiaWeb. 2010. 137. Holbrook. 1836. Hamilton. 1934,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2262,Bombina variegata,Bombina variegata,Amphibia,Bombinatoridae,Migration,NA,Distance,3800,m,Maximum,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,6.32,g,y,Both,NA,Carnivore. Insectivore. Moluscivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Miaud & Muratet. 2004. Cistude Nature. 2010. Szymura & Barton. 1986. Pichnot. 2008. Vukov et al. 2006. Seidel. 1999. Morand. 1997. Collectif dde l’Acemav. 2003. Beshkov & Jameson. 1980. Barandun & Reyer. 1998. Hartel. 2008. Cabela & Girolla. 1994. Herrmann. 1996. Abbuhl & Durrer. 1996. Gittins. 1983,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2263,Bombina variegata,Bombina variegata,Amphibia,Bombinatoridae,Migration,NA,Distance,192.73,m,Mean,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,6.32,g,y,Both,NA,Carnivore. Insectivore. Moluscivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Miaud & Muratet. 2004. Cistude Nature. 2010. Szymura & Barton. 1986. Pichnot. 2008. Vukov et al. 2006. Seidel. 1999. Morand. 1997. Collectif dde l’Acemav. 2003. Beshkov & Jameson. 1980. Barandun & Reyer. 1998. Hartel. 2008. Cabela & Girolla. 1994. Herrmann. 1996. Abbuhl & Durrer. 1996. Vignes. 2009,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2265,Bufo bufo,Bufo bufo,Amphibia,Bufonidae,Migration,NA,Distance,4000,m,Maximum,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,76.54,g,y,Both,NA,Carnivore. Insectivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Monnet & Cherry. 2002. Boulenger. 1897. Miaud & Muratet. 2004. Cistude Nature. 2010. Weiserbs & Jacob. 2005. Agence de l’eau Artois Picardie. 2003. Kovar et al. 2009. Collectif dde l’Acemav. 2003. Cabela & Girolla. 1994. Gittins. 1983. Vignes. 2009. Jovanovic. 2009. Haapanen. 1974. Heusser. 1969. Moore. 1954. Parker & Gittins. 1979. Sinsch. 1989. Reading et al. 1991. Sinsch. 1988. Barker & Halliday. 1999. Vaucher. 2011. Martinez-Solano. 2009 (Discoglossus galganoi). Nollet & Nollert. 2003,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2266,Bufo bufo,Bufo bufo,Amphibia,Bufonidae,Migration,NA,Distance,15,m,Mean,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,76.54,g,y,Both,NA,Carnivore. Insectivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Monnet & Cherry. 2002. Boulenger. 1897. Miaud & Muratet. 2004. Cistude Nature. 2010. Weiserbs & Jacob. 2005. Agence de l’eau Artois Picardie. 2003. Kovar et al. 2009. Collectif dde l’Acemav. 2003. Cabela & Girolla. 1994. Gittins. 1983. Vignes. 2009. Jovanovic. 2009. Haapanen. 1974. Heusser. 1969. Moore. 1954. Parker & Gittins. 1979. Sinsch. 1989. Reading et al. 1991. Sinsch. 1988. Barker & Halliday. 1999. Vaucher. 2011. Martinez-Solano. 2009 (Discoglossus galganoi). Bensettiti & Gaudillat. 2004,NA,NA,NA,Trochet et al. 2014,Inferred from Class:  Amphibia,NA,NA,NA,NA,NA,NA
2268,Calotriton asper,Calotriton asper,Amphibia,Salamandridae,Migration,NA,Distance,50,m,Mean,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,6.62,g,y,Both,NA,Carnivore. Insectivore. Moluscivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Miaud & Muratet. 2004. Cistude Nature. 2010. Lanza et al. 1995. Raffaelli. 2007. Wiens & Hoverman. 2008. Carranza & Amat. 2005. Montori & Llorente. 2009. Issartel et al. 2010. Miaud  & Guillaume. 2005. Hervant et al. 2001. Hervant et al. 2000. Dreiss et al. 2009. Losange. 2008,NA,NA,NA,Trochet et al. 2014,NA,NA,NA,NA,NA,NA,NA
2271,Chioglossa lusitanica,Chioglossa lusitanica,Amphibia,Salamandridae,Migration,NA,Distance,700,m,Maximum,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,2,g,y,Both,NA,Carnivore. Insectivore. Moluscivore. Cannibal,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Lanza et al. 1995. Raffaelli. 2007. Wiens & Hoverman. 2008. Montori et al. 2008. Sequeira et al. 2003. Brizzi et al. 1995. Bohme et al. 2004,NA,NA,NA,Trochet et al. 2014,NA,NA,NA,NA,NA,NA,NA
2276,Epidalea calamita,Epidalea calamita,Amphibia,Bufonidae,Migration,NA,Distance,2600,m,Maximum,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,50.22,g,y,Both,NA,Carnivore. Insectivore. Moluscivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Miaud & Muratet. 2004. Cistude Nature. 2010. Agence de l’eau Artois Picardie. 2003. Morand. 1997. Collectif dde l’Acemav. 2003. Grillas et al. 2004. Boulenger. 1897. Jacob et al. 2007. Miaud et al. 2000. Sinsch. 1988. Sinsch. 1997. Sinsch. 1992. Vos et al. 2000,NA,NA,NA,Trochet et al. 2014,NA,NA,NA,NA,NA,NA,NA
2277,Epidalea calamita,Epidalea calamita,Amphibia,Bufonidae,Migration,NA,Distance,510.66,m,Mean,NA,NA,NA,Mark-release-recapture or individual tracking,NA,Cross-study,NA,NA,NA,NA,Mixed,50.22,g,y,Both,NA,Carnivore. Insectivore. Moluscivore,Metastudy,Trochet et al. 2014,Arnold & Ovenden. 2002. Miaud & Muratet. 2004. Cistude Nature. 2010. Agence de l’eau Artois Picardie. 2003. Morand. 1997. Collectif dde l’Acemav. 2003. Grillas et al. 2004. Boulenger. 1897. Jacob et al. 2007. Miaud et al. 2000. Sinsch. 1988. Sinsch. 1997. Sinsch. 1992. Carlson & Edenhamn. 2000,NA,NA,NA,Trochet et al. 2014,NA,NA,NA,NA,NA,NA,NA
