SpecCode	Species	Weight
58010	Abdopus abaculus	21
94180	Abdopus capricornicus	65
47937	Acanthocardia tuberculata	3.08
49455	Actinopyga echinites	1000
83473	Actinopyga mauritiana	1520
83474	Actinopyga miliaris	2000
83476	Actinopyga palauensis	500
83477	Actinopyga spinea	1200
74295	Aethia cristatella	264
84253	Aethia psittacula	258
74296	Aethia pusilla	84
74297	Aethia pygmaea	121
74909	Alca torda	719
74912	Alle alle	163
67115	Alligator mississippiensis	473.1
67874	Amblyrhynchus cristatus	1500
57190	Ameloctopus litoralis	15
57995	Amphioctopus aegina	400
57358	Amphioctopus exannulatus	75
57135	Amphioctopus fangsiao	100
57999	Amphioctopus marginatus	400
57987	Amphioctopus membranaceus	500
57359	Amphioctopus mototi	300
57260	Amphioctopus polyzenia	19
48288	Anodontia edentula	210
74900	Anous minutus	144
84004	Anous minutus tenuirostris	120
74898	Anous stolidus	167
80483	Aphrodroma brevirostris	324
8434	Aplysia brasiliana	608
8433	Aplysia californica	6800
8435	Aplysia dactylomela	1400
1353	Aplysia depilans	380
1354	Aplysia fasciata	1710
8438	Aplysia juliana	468
141533	Aplysia kurodai	590
8437	Aplysia parvula	41
8436	Aplysia punctata	130
8440	Aplysia vaccaria	15900
73699	Aptenodytes forsteri	33360
73700	Aptenodytes patagonicus	12654.2998046875
57844	Architeuthis dux	220000
68958	Arctocephalus australis	200000
68956	Arctocephalus forsteri	200000
68959	Arctocephalus galapagoensis	68000
68955	Arctocephalus gazella	230000
68960	Arctocephalus philippii	159000
68954	Arctocephalus pusillus	360000
68961	Arctocephalus townsendi	170000
68957	Arctocephalus tropicalis	165000
25506	Aristaeomorpha foliacea	45.9
83543	Ashtoret lunaris	39.9
69009	Balaena mysticetus	100000000
69003	Balaenoptera acutorostrata	14000000
70932	Balaenoptera bonaerensis	6800000
69005	Balaenoptera borealis	30000000
69004	Balaenoptera edeni	25000000
69007	Balaenoptera musculus	160000000
69006	Balaenoptera physalus	75000000
173642	Batagur affinis	38000
58211	Bathypolypus arcticus	400
68886	Berardius bairdii	12000000
105639	Birgus latro	4000
83479	Bohadschia argus	2200
84439	Bohadschia marmorata	2000
83480	Bohadschia similis	800
83484	Bohadschia vitiensis	1600
83695	Bolinus brandaris	79.7
75163	Brachyramphus brevirostris	295.799987792969
75162	Brachyramphus marmoratus	202.5
76699	Brachyramphus perdix	293.299987792969
73601	Bucephala albeola	403.5
73599	Bucephala clangula	900
73600	Bucephala islandica	910
76700	Bulweria bulwerii	990
73535	Bulweria fallax	0
57191	Callistoctopus alpheus	340
57192	Callistoctopus aspilosomatis	120
167053	Callistoctopus dierythraeus	1500
167054	Callistoctopus graptus	4200
58195	Callistoctopus macropus	2000
57248	Callistoctopus ornatus	1000
69422	Callorhinus ursinus	270000
76509	Calonectris diomedea	600
84035	Calonectris edwardsii	0
76510	Calonectris leucomelas	550
69010	Caperea marginata	3200000
69389	Cephalorhynchus commersonii	86000
69390	Cephalorhynchus eutropia	63000
69392	Cephalorhynchus hectori	57000
