m_C,disp_dist
3.1,91266.59759361736
347.4449494949495,413224.1808427943
691.789898989899,507332.88841854065
1036.1348484848484,571537.1223349207
1380.479797979798,621708.6704263507
1724.8247474747475,663483.4570018633
2069.169696969697,699585.3808131324
2413.5146464646464,731560.014433076
2757.859595959596,760377.2031494153
3102.2045454545455,786689.4022556857
3446.549494949495,810958.6121431071
3790.8944444444446,833525.0994606519
4135.239393939394,854647.4163665704
4479.584343434344,874527.0730336956
4823.929292929293,893324.4632662423
5168.274242424243,911169.540259914
5512.619191919192,928169.2036400915
5856.9641414141415,944412.5506997452
6201.3090909090915,959974.6971979608
6545.654040404041,974919.6142708143
6889.998989898991,989302.2726689277
7234.34393939394,1003170.2892338202
7578.68888888889,1016565.2090997013
7923.033838383839,1029523.5169281315
8267.378787878788,1042077.4436039105
8611.723737373737,1054255.616472374
8956.068686868688,1066083.588443099
9300.413636363637,1077584.2722700068
9644.758585858586,1088778.2998494236
9989.103535353535,1099684.3216718363
10333.448484848486,1110319.2580958414
10677.793434343435,1120698.5115279625
11022.138383838384,1130836.1466440614
11366.483333333334,1140745.0443051679
11710.828282828283,1150437.0336811035
12055.173232323234,1159923.006211986
12399.518181818183,1169213.014347399
12743.863131313132,1178316.3574593659
13088.208080808081,1187241.6568940252
13432.553030303032,1195996.9217824948
13776.897979797981,1204589.6069545983
14121.24292929293,1213026.6640752926
14465.58787878788,1221314.586941587
14809.932828282828,1229459.4517289102
15154.27777777778,1237466.952853535
15498.622727272728,1245342.4350166589
15842.967676767677,1253090.9219118857
16187.312626262627,1260717.1420080054
16531.657575757574,1268225.5517604952
16876.002525252523,1275620.3565560258
17220.347474747472,1282905.5296528202
17564.692424242425,1290084.8293446212
17909.037373737374,1297161.8145461988
18253.382323232323,1304139.8589729394
18597.727272727272,1311022.1640652944
18942.07222222222,1317811.770790231
19286.41717171717,1324511.5704357827
19630.76212121212,1331124.3145009414
19975.10707070707,1337652.6237711513
20319.452020202018,1344098.9966592756
20663.79696969697,1350465.8168828418
21008.14191919192,1356755.360540511
21352.48686868687,1362969.8026437971
21696.831818181818,1369111.2231540289
22041.176767676767,1375181.6125692585
22385.521717171716,1381182.877101122
22729.866666666665,1387116.8434775653
23074.211616161614,1392985.2634037018
23418.556565656563,1398789.8177098455
23762.901515151516,1404532.1202129195
24107.246464646465,1410213.7213148754
24451.591414141414,1415836.1113595336
24795.936363636363,1421400.7237672007
25140.281313131312,1426908.9379646636
25484.62626262626,1432362.0821265015
25828.97121212121,1437761.435742256
26173.31616161616,1443108.2320226773
26517.66111111111,1448403.6601571084
26862.00606060606,1453648.8674330204
27206.35101010101,1458844.961227774
27550.69595959596,1463993.010881812
27895.04090909091,1469094.049461738
28239.385858585858,1474149.0754210192
28583.730808080807,1479159.0541654355
28928.075757575756,1484124.9195298082
29272.420707070705,1489047.5751720336
29616.765656565654,1493927.8958899598
29961.110606060607,1498766.728866232
30305.455555555556,1503564.8948458123
30649.800505050505,1508323.189250541
30994.145454545454,1513042.3832347777
31338.490404040404,1517723.2246858443
31682.835353535353,1522366.4391727366
32027.1803030303,1526972.7308463017
32371.52525252525,1531542.7832938684
32715.8702020202,1536077.2603510858
33060.21515151515,1540576.8068735327
33404.5601010101,1545042.0494705054
33748.90505050505,1549473.5972031937
34093.25,1553872.0422493129
