m_C,disp_dist
2.8,88084.94737797217
347.14797979797976,413118.22135457455
691.4959595959594,507269.06588097074
1035.843939393939,571489.9482691255
1380.191919191919,621670.7388024175
1724.5398989898988,663451.5144685941
2068.8878787878784,699557.6836529332
2413.2358585858583,731535.5092101017
2757.583838383838,760355.2000538236
3101.931818181818,786669.4225530871
3446.279797979798,810940.3086440607
3790.6277777777773,833508.2115385631
4134.975757575757,854631.7428626266
4479.323737373737,874512.455095647
4823.671717171716,893310.7730237081
5168.019696969696,911156.6730913051
5512.367676767676,928157.0727370126
5856.715656565656,944401.0831502589
6201.063636363636,959963.8311028527
6545.411616161616,974909.2965799816
6889.759595959596,989292.4575307746
7234.1075757575745,1003160.936717214
7578.455555555554,1016556.2841911555
7922.803535353534,1029514.9887354738
8267.151515151512,1042069.2847170265
8611.499494949492,1054247.8024449493
8955.847474747472,1066076.0973686576
9300.195454545452,1077577.084432202
9644.543434343432,1088771.3974313727
9988.891414141412,1099677.6885128221
10333.239393939391,1110312.87948633
10677.587373737371,1120692.3740358525
11021.935353535351,1130830.2379665698
11366.283333333331,1140739.3531419057
11710.63131313131,1150431.5496247686
12054.97929292929,1159917.719653788
12399.32727272727,1169207.9163948814
12743.67525252525,1178311.4398646997
13088.02323232323,1187236.9119911985
13432.37121212121,1195992.342432095
13776.71919191919,1204585.1864951006
14121.067171717168,1213022.396279946
14465.415151515148,1221310.4659801351
14809.763131313128,1229455.4721335028
15154.111111111108,1237463.1094882935
15498.459090909088,1245338.72305042
15842.807070707067,1253087.3367937352
16187.155050505047,1260713.679445265
16531.503030303025,1268222.2076988618
16875.851010101007,1275617.1271616213
17220.198989898985,1282902.4112959285
17564.546969696967,1290081.818584924
17908.894949494945,1297158.908119347
18253.242929292926,1304137.0537783164
18597.590909090904,1311019.4571548412
18941.938888888886,1317809.15935823
19286.286868686864,1324509.0518094953
19630.634848484846,1331121.8861320193
19974.982828282824,1337650.283227742
20319.330808080806,1344096.7416187557
20663.678787878784,1350463.645125121
21008.026767676765,1356753.2699418499
21352.374747474743,1362967.791171091
21696.722727272725,1369109.2888595224
22041.070707070703,1375179.7535856434
22385.41868686868,1381181.0916369897
22729.766666666663,1387115.1298131817
23074.11464646464,1392983.6198870817
23418.462626262623,1398788.2427530924
23762.8106060606,1404530.6122888199
24107.158585858582,1410212.2789537138
24451.50656565656,1415834.7331461231
24795.854545454542,1421399.4083381074
25140.20252525252,1426907.6840056048
25484.5505050505,1432360.8883699123
25828.89848484848,1437760.3009650055
26173.24646464646,1443107.1550439284
26517.59444444444,1448402.639836303
26861.94242424242,1453647.9026679914
27206.2904040404,1458844.0509529626
27550.63838383838,1463992.1540665969
27894.98636363636,1469093.2451088538
28239.334343434337,1474148.3225650701
28583.68232323232,1479158.3518714888
28928.030303030297,1484124.266892071
29272.37828282828,1489046.9713125962
29616.726262626256,1493927.3399576147
29961.074242424238,1498766.2200353495
30305.422222222216,1503564.4323152772
30649.770202020198,1508322.7722427517
30994.118181818176,1513042.0109946874
31338.466161616157,1517722.8964800604
31682.814141414136,1522366.1542886554
32027.162121212117,1526972.4885912994
32371.510101010095,1531542.5829945228
32715.858080808077,1536077.1013524376
33060.206060606055,1540576.688538387
33404.55404040404,1545041.9711787635
33748.90202020202,1549473.5583512152
34093.25,1553872.0422493129
