m_C,disp_dist
7.6,9119.52976082479
39805.84929292929,391289.4075607053
79604.09858585859,509883.54113043967
119402.34787878788,593573.689875647
159200.59717171718,660301.3190182267
198998.84646464649,716649.8779442031
238797.09575757576,765870.5853238318
278595.345050505,809838.2843782238
318393.5943434343,849744.7311824874
358191.8436363636,886400.320084157
397990.09292929294,920384.1671805345
437788.3422222222,952126.2093849902
477586.5915151515,981955.4442643881
517384.8408080808,1010129.9060549939
557183.09010101,1036856.1511911884
596981.3393939394,1062302.4036119203
636779.5886868687,1086607.7032679413
676577.837979798,1109888.44405849
716376.0872727273,1132243.1541183563
756174.3365656566,1153756.0612517977
795972.5858585859,1174499.799209169
835770.8351515151,1194537.493951004
875569.0844444444,1213924.394370278
915367.3337373737,1232709.1628935472
955165.583030303,1250934.9084388772
994963.8323232323,1268640.0216375417
1034762.0816161616,1285858.856480626
1074560.330909091,1302622.291385859
1114358.5802020202,1318958.1946429496
1154156.8294949497,1334891.8133310995
1193955.0787878789,1350446.100468873
1233753.3280808083,1365641.9919171066
1273551.5773737375,1380498.6421077899
1313349.8266666667,1395033.625803763
1353148.075959596,1409263.1116551403
1392946.3252525253,1423202.0122003462
1432744.5745454547,1436864.1140839213
1472542.823838384,1450262.1915720615
1512341.0731313133,1463408.1058974634
1552139.3224242425,1476312.8925253423
1591937.571717172,1488986.8380784425
1631735.8210101011,1501439.5483719707
1671534.0703030303,1513680.0087756899
1711332.3195959597,1525716.6379289473
1751130.568888889,1537557.3356768154
1790928.8181818184,1549209.5259651134
1830727.0674747475,1560680.1953237401
1870525.316767677,1571975.92747726
1910323.5660606062,1583102.9345458932
1950121.8153535353,1594067.0852362362
1989920.0646464648,1604873.9303671364
2029718.313939394,1615528.7260304482
2069516.5632323234,1626036.4546475152
2109314.812525253,1636401.8441490163
2149113.061818182,1646629.3854774109
2188911.311111111,1656723.3485867667
2228709.5604040404,1666687.7970937423
2268507.8096969696,1676526.6017153012
2308306.0589898992,1686243.452612988
2348104.3082828284,1695841.8707499136
2387902.5575757576,1705325.218354676
2427700.806868687,1714696.7085760585
2467499.0561616165,1723959.414403201
2507297.3054545457,1733116.2769180147
2547095.554747475,1742170.1129395294
2586893.804040404,1751123.622113725
2626692.053333333,1759979.3934969131
2666490.302626263,1768739.9116759195
2706288.551919192,1777407.5624640337
2746086.8012121213,1785984.6382078899
2785885.0505050505,1794473.3427370775
2825683.29979798,1802875.795985248
2865481.5490909093,1811194.0383088104
2905279.7983838385,1819430.0345269104
2945078.0476767677,1827585.6777042076
2984876.296969697,1835662.7926960776
3024674.5462626265,1843663.1394740853
3064472.7955555557,1851588.4162480575
3104271.044848485,1859440.2623996483
3144069.294141414,1867220.2612410355
3183867.5434343438,1874929.9426112412
3223665.792727273,1882570.7853215227
3263464.042020202,1890144.219460366
3303262.2913131313,1897651.628567725
3343060.5406060605,1905094.351687415
3382858.78989899,1912473.6853058417
3422657.0391919194,1919790.8851846154
3462455.2884848486,1927047.1680940194
3502253.5377777778,1934243.71345376
3542051.787070707,1941381.6648869645
3581850.0363636366,1948462.1316929027
3621648.285656566,1955486.1902435692
3661446.534949495,1962454.885308813
3701244.784242424,1969369.231314437
3741043.033535354,1976230.2135373075
3780841.282828283,1983038.7892412832
3820639.532121212,1989795.888757473
3860437.7814141414,1996502.4165120907
3900236.0307070706,2003159.2520049764
3940034.28,2009767.2507416157
