m_C,disp_dist
7.6,9119.52976082479
282835.80606060603,814266.8749281241
565664.0121212121,1042380.9069926088
848492.2181818181,1200802.7702784804
1131320.4242424243,1325796.841438934
1414148.6303030304,1430514.040853495
1696976.8363636364,1521397.9419003
1979805.0424242425,1602141.9047173783
2262633.2484848485,1675082.069185775
2545461.4545454546,1741800.3592374474
2828289.6606060606,1803423.1072604423
3111117.8666666667,1860783.7936858004
3393946.0727272728,1914518.354421461
3676774.278787879,1965124.23039787
3959602.484848485,2012998.65004824
4242430.69090909,2058464.3927797885
4525258.8969696965,2101787.679094987
4808087.103030303,2143190.929214805
5090915.309090909,2182862.073679617
5373743.515151515,2220961.485201386
5656571.721212121,2257627.2311904845
5939399.927272727,2292979.116397194
6222228.133333333,2327121.838003603
6505056.339393939,2360147.4790271726
6787884.545454545,2392137.5011997996
7070712.751515151,2423164.3542210506
7353540.957575757,2453292.7874456015
7636369.163636363,2482580.9282245776
7919197.369696969,2511081.175419243
8202025.575757575,2538840.94516191
8484853.781818181,2565903.297492521
8767681.987878786,2592307.4661922134
9050510.193939393,2618089.309374423
9333338.4,2643281.6947645065
9616166.606060605,2667914.8308058227
9898994.81212121,2692016.552562101
10181823.018181818,2715612.569689287
10464651.224242425,2738726.682412102
10747479.43030303,2761380.9703779896
11030307.636363635,2783595.9584114947
11313135.842424242,2805390.762508433
11595964.048484849,2826783.2188557885
11878792.254545454,2847789.998212738
12161620.460606059,2868426.7076193606
12444448.666666666,2888707.981096269
12727276.872727273,2908647.5607475187
13010105.078787878,2928258.369470924
13292933.284848483,2947552.576306104
13575761.49090909,2966541.6553050703
13858589.696969697,2985236.438687737
14141417.903030302,3003647.1649414413
14424246.109090907,3021783.522435953
14707074.315151514,3039654.6890510493
14989902.521212121,3057269.3682501703
15272730.727272727,3074635.821979347
15555558.933333332,3091761.9007239034
15838387.139393939,3108655.0710152304
16121215.345454546,3125322.440645249
16404043.55151515,3141770.7818161263
16686871.757575756,3158006.5524266763
16969699.963636365,3174035.915674219
17252528.16969697,3189864.758130816
17535356.375757575,3205498.7064354834
17818184.581818182,3220943.142728763
18101012.78787879,3236203.218942732
18383840.993939396,3251283.870047702
18666669.200000003,3266189.8263465525
18949497.406060606,3280925.624898443
19232325.612121213,3295495.6201455
19515153.81818182,3309903.993808939
19797982.024242423,3324154.7641145834
20080810.23030303,3338251.7944021006
20363638.436363637,3352198.8011671426
20646466.642424244,3365999.3615810596
20929294.84848485,3379656.920528733
21212123.054545455,3393174.797201479
21494951.26060606,3406556.1912786528
21777779.46666667,3419804.1887286226
22060607.672727272,3432921.7672571996
22343435.87878788,3445911.8014291096
22626264.084848486,3458777.067486022
22909092.290909093,3471520.2478826353
23191920.4969697,3484143.935560569
23474748.703030303,3496650.63797822
23757576.90909091,3509042.7809132556
24040405.115151517,3521322.712053106
24323233.32121212,3533492.7043876178
24606061.527272727,3545554.959416921
24888889.733333334,3557511.6101865666
25171717.93939394,3569364.724161089
25454546.14545455,3581116.305946279
25737374.35151515,3592768.2998697385
26020202.55757576,3604322.5924285427
26303030.763636366,3615781.0146122044
26585858.96969697,3627145.3441085913
26868687.175757576,3638417.307399825
27151515.381818183,3649598.581754773
27434343.58787879,3660690.797124231
27717171.793939397,3671695.53794451
28000000,3682614.344854731
