m_C,disp_dist
220,1285040.1022263437
5773.333333333333,4321721.630773677
11326.666666666666,5523088.640659731
16880,6377585.122539131
22433.333333333332,7060980.740876039
27986.666666666664,7638849.939922018
33540,8143855.7689524265
39093.33333333333,8594942.408969251
44646.666666666664,9004204.17390874
50200,9379893.9347058665
55753.33333333333,9727926.559447005
61306.666666666664,10052704.364016902
66860,10357603.608562633
72413.33333333333,10645277.588949522
77966.66666666666,10917854.103688434
83520,11177068.936784524
89073.33333333333,11424358.923712607
94626.66666666666,11660928.570290271
100180,11887798.835684795
105733.33333333333,12105843.568890536
111286.66666666666,12315817.201354431
116840,12518376.121349016
122393.33333333333,12714095.400469813
127946.66666666666,12903482.045909092
133500,13086985.618141066
139053.3333333333,13265006.824536785
144606.66666666666,13437904.53941926
150160,13606001.587487258
155713.3333333333,13769589.54570203
161266.66666666666,13928932.758962154
166820,14084271.72068793
172373.3333333333,14235825.93636494
177926.66666666666,14383796.363087028
183480,14528367.4990376
189033.3333333333,14669709.182123914
194586.66666666666,14807978.145530535
200140,14943319.368984194
205693.3333333333,15075867.257435177
211246.66666666666,15205746.673222901
216800,15333073.843279108
222353.3333333333,15457957.1592849
227906.66666666666,15580497.885748606
233460,15700790.788568035
239013.3333333333,15818924.694670433
244566.66666666666,15934982.991700388
250120,16049044.075382935
255673.3333333333,16161181.751071928
261226.66666666666,16271465.595061067
266780,16379961.28045255
272333.3333333333,16486730.871719807
277886.6666666666,16591833.09154393
283440,16695323.5630313
288993.3333333333,16797255.030017965
294546.6666666666,16897677.5578231
300100,16996638.716519546
305653.3333333333,17094183.748537153
311206.6666666666,17190355.72219615
316760,17285195.67258003
322313.3333333333,17378742.73099384
327866.6666666666,17471034.24411212
333420,17562105.88379701
338973.3333333333,17651991.748459216
344526.6666666666,17740724.45673999
350080,17828335.23420931
355633.3333333333,17914853.99370272
361186.6666666666,18000309.409854747
366740,18084728.988330442
372293.3333333333,18168139.130206037
377846.6666666666,18250565.191905368
383400,18332031.541059393
388953.3333333333,18412561.6086204
394506.6666666666,18492177.93753185
400060,18570902.228226174
405613.3333333333,18648755.38119828
411166.6666666666,18725757.536879834
416720,18801928.113019332
422273.3333333333,18877285.83975487
427826.6666666666,18951848.792550344
433380,19025634.423151113
438933.3333333333,19098659.588701706
444486.6666666666,19170940.579156663
450040,19242493.143104278
455593.3333333333,19313332.512113526
461146.6666666666,19383473.42370554
466700,19452930.1430427
472253.3333333333,19521716.483421355
477806.6666666666,19589845.825647324
483360,19657331.13636721
488913.3333333333,19724184.985423133
494466.6666666666,19790419.56229334
500020,19856046.691676382
505573.3333333333,19921077.848272596
511126.6666666666,19985524.170812335
516680,20049396.475377247
522233.3333333333,20112705.26805716
527786.6666666666,20175460.75698265
533340,20237672.86376996
538893.3333333333,20299351.234413065
544446.6666666666,20360505.249654703
550000,20421144.034866508
