m_C,disp_dist
22,559308.6963216946
1000021.7777777778,23922668.306683686
2000021.5555555555,28300056.971106723
3000021.333333333,30843448.18696606
4000021.111111111,32586352.716682337
5000020.888888889,33880721.745315254
6000020.666666666,34889923.306113854
7000020.444444444,35703113.50419773
8000020.222222222,36374176.06024805
9000020,36938070.95206796
10000019.777777778,37418701.51089817
11000019.555555556,37833086.202676825
12000019.333333332,38193738.69784897
13000019.11111111,38510105.78613812
14000018.888888888,38789477.15324051
15000018.666666666,39037583.35231423
16000018.444444444,39259001.61271568
17000018.22222222,39457438.85410419
18000018,39635933.76498187
19000017.777777776,39797004.08591723
20000017.555555556,39942755.91475519
21000017.333333332,40074966.139285564
22000017.111111112,40195145.50220736
23000016.888888888,40304587.47537676
24000016.666666664,40404406.581018776
25000016.444444444,40495568.75886538
26000016.22222222,40578915.66431091
27000016,40655184.28382685
28000015.777777776,40725022.89995768
29000015.555555556,40789004.183602884
30000015.333333332,40847636.005758986
31000015.111111112,40901370.42409616
32000014.888888888,40950611.1977698
33000014.666666664,40995720.107075185
34000014.44444444,41037022.29617715
35000014.222222224,41074810.81237349
36000014,41109350.48072962
37000013.777777776,41140881.22593883
38000013.55555555,41169620.93208187
39000013.333333336,41195767.91421613
40000013.11111111,41219503.06240639
41000012.88888889,41240991.708147004
42000012.666666664,41260385.254542015
43000012.44444444,41277822.60466262
44000012.222222224,41293431.41684598
45000012,41307329.21107709
46000011.777777776,41319624.346795514
47000011.55555555,41330416.889334306
48000011.33333333,41339799.379598886
49000011.11111111,41347857.519431576
50000010.88888889,41354670.783299506
51000010.666666664,41360312.96542894
52000010.44444444,41364852.67023287
53000010.222222224,41368353.752801314
54000010,41370875.715311766
55000009.777777776,41372474.06443985
56000009.55555555,41373200.634189926
57000009.33333333,41373103.87799879
58000009.11111111,41372229.133480765
59000008.88888889,41370618.8627648
60000008.666666664,41368312.871015325
61000008.44444444,41365348.505416706
62000008.222222224,41361760.83663257
63000008,41357582.82451668
64000007.777777776,41352845.46964901
65000007.55555555,41347577.95209247
66000007.33333333,41341807.75861044
67000007.11111111,41335560.7994499
68000006.88888888,41328861.51567424
69000006.66666667,41321732.97792611
70000006.44444445,41314196.97740717
71000006.22222222,41306274.10978021
72000006,41297983.8526268
73000005.77777778,41289344.63702967
74000005.55555555,41280373.91379208
75000005.33333333,41271088.21475618
76000005.1111111,41261503.20963699
77000004.88888888,41251633.75874896
78000004.66666667,41241493.96196614
79000004.44444445,41231097.20422504
80000004.22222222,41220456.19785037
81000004,41209583.02195858
82000003.77777778,41198489.15917065
83000003.55555555,41187185.529845044
84000003.33333333,41175682.52402311
85000003.1111111,41163990.03126233
86000002.88888888,41152117.46851725
87000002.66666667,41140073.80621526
88000002.44444445,41127867.592660464
89000002.22222222,41115506.97688914
90000002,41102999.73008905
91000001.77777778,41090353.265685946
92000001.55555555,41077574.65819262
93000001.33333333,41064670.660907336
94000001.1111111,41051647.72254243
95000000.88888888,41038512.00285686
96000000.66666666,41025269.3873612
97000000.44444445,41011925.5011578
98000000.22222222,40998485.72197434
99000000,40984955.19244486
