Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
54,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,302000,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Allen. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
55,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,153000,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Allen. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
61,Aplodontia rufa,Aplodontia rufa,Mammalia,Aplodontiidae,Dispersal,Distance,326,m,Maximum,Running,1003.99,g,Metastudy,Whitmee & Orme. 2013,Arjo. Huenefeld & Nolte. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
65,Marmota flaviventris,Marmota flaviventris,Mammalia,Sciuridae,Dispersal,Distance,6400,m,Maximum,Running,3349.96,g,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,Wilman et al 2014,Inferred from Class:  Mammalia
66,Marmota flaviventris,Marmota flaviventris,Mammalia,Sciuridae,Dispersal,Distance,15500,m,Maximum,Running,3349.96,g,Metastudy,Whitmee & Orme. 2013,Armitage. 1991,Wilman et al 2014,Inferred from Class:  Mammalia
69,Martes pennanti,Martes pennanti,Mammalia,Mustelidae,Dispersal,Distance,22600,m,Maximum,Running,4000,g,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
70,Martes pennanti,Martes pennanti,Mammalia,Mustelidae,Dispersal,Distance,23000,m,Maximum,Running,4000,g,Metastudy,Whitmee & Orme. 2013,Arthur et al. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
78,Mellivora capensis,Mellivora capensis,Mammalia,Mustelidae,Dispersal,Distance,53000,m,Maximum,Running,8500,g,Metastudy,Whitmee & Orme. 2013,Begg et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
79,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,48000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Beier. 1995,Wilman et al 2014,Inferred from Class:  Mammalia
80,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,77000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Beier. 1995,Wilman et al 2014,Inferred from Class:  Mammalia
83,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,79000,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,Wilman et al 2014,Inferred from Class:  Mammalia
84,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,432000,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Berg & Kuehn. 1982,Wilman et al 2014,Inferred from Class:  Mammalia
89,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,45000,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
90,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,50000,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Blanco & Cortes. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
95,Canis mesomelas,Canis mesomelas,Mammalia,Canidae,Dispersal,Distance,103000,m,Maximum,Running,8500.02,g,Metastudy,Whitmee & Orme. 2013,Bothma. 1971,Wilman et al 2014,Inferred from Class:  Mammalia
99,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,254900,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Boyd & Pletscher.  1999,Wilman et al 2014,Inferred from Class:  Mammalia
101,Crocuta crocuta,Crocuta crocuta,Mammalia,Hyaenidae,Dispersal,Distance,40000,m,Maximum,Running,66492.06,g,Metastudy,Whitmee & Orme. 2013,Boydston et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
103,Lepus europaeus,Lepus europaeus,Mammalia,Leporidae,Dispersal,Distance,17353,m,Maximum,Running,3740,g,Metastudy,Whitmee & Orme. 2013,Bray et al. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
109,Chlorocebus aethiops,Chlorocebus aethiops,Mammalia,Cercopithecidae,Dispersal,Distance,500,m,Maximum,Running,4155,g,Metastudy,Whitmee & Orme. 2013,Cheney & Seyfarth. 1983,Wilman et al 2014,Inferred from Class:  Mammalia
110,Ursus americanus,Ursus americanus,Mammalia,Ursidae,Dispersal,Distance,5000,m,Maximum,Running,99949.36,g,Metastudy,Whitmee & Orme. 2013,Costello. 2010,Wilman et al 2014,Inferred from Class:  Mammalia
