m_C,disp_dist
3.1,85000.13597273306
122.26060606060605,275206.00991266314
241.4212121212121,338038.1903213153
360.5818181818182,381152.7189575615
479.74242424242425,414942.0355438937
598.9030303030303,443130.25586356065
718.0636363636364,467525.34261355014
837.2242424242424,489156.0452840372
956.3848484848485,508669.19153812097
1075.5454545454545,526500.5897680478
1194.7060606060604,542959.2073637637
1313.8666666666666,558272.8284491698
1433.0272727272727,572614.6816486381
1552.1878787878786,586119.8765030125
1671.3484848484848,598896.0237342274
1790.5090909090907,611030.3608296879
1909.6696969696968,622594.6863472329
2028.830303030303,633648.8699595482
2147.990909090909,644243.4079133848
2267.151515151515,654421.321476863
2386.312121212121,664219.5925682964
2505.4727272727273,673670.2666225497
2624.633333333333,682801.3118147181
2743.793939393939,691637.2969681302
2862.9545454545455,700199.9325401176
2982.1151515151514,708508.5068311262
3101.2757575757573,716580.2410444275
3220.4363636363632,724430.5808006172
3339.5969696969696,732073.4373877015
3458.7575757575755,739521.3888811346
3577.9181818181814,746785.8489490646
3697.078787878788,753877.209428591
3816.2393939393937,760804.9614550995
3935.3999999999996,767577.7989339746
4054.560606060606,774203.7073809234
4173.721212121212,780690.0405654896
4292.881818181819,787043.5869298314
4412.042424242424,793270.6273904836
4531.203030303031,799376.9858417709
4650.363636363637,805368.0734486099
4769.524242424242,811248.9276308164
4888.684848484849,817024.2464908755
5007.845454545455,822698.4193150275
5127.006060606061,828275.5536776327
5246.166666666667,833759.49959668
5365.327272727273,839153.8711205004
5484.487878787879,844462.0656694409
5603.648484848485,849687.2814093757
5722.8090909090915,854832.5328946356
5841.969696969697,859900.6651849535
5961.130303030303,864894.3666131779
6080.290909090909,869816.180356926
6199.451515151515,874668.5149473242
6318.612121212122,879453.6538308889
6437.772727272727,884173.7640860168
6556.933333333333,888830.9043829793
6676.09393939394,893427.0322655643
6795.254545454545,897964.0108231772
6914.415151515152,902443.6148141501
7033.575757575758,906867.53629404
7152.736363636363,911237.3897965761
7271.89696969697,915554.7171096482
7391.057575757576,919820.9916840575
7510.218181818182,924037.6227087101
7629.378787878788,928205.9588823473
7748.539393939394,932327.2919087765
7867.7,936402.8597397872
7986.860606060606,940433.8495874942
8106.021212121213,944421.4007256818
8225.181818181818,948366.6070977906
8344.342424242424,952270.519747497
8463.50303030303,956134.1490862918
8582.663636363637,959958.4670111269
8701.824242424242,963744.4088839745
8820.984848484848,967492.8753840595
8940.145454545454,971204.7342425613
9059.30606060606,974880.8218687009
9178.466666666667,978521.9448753422
9297.627272727274,982128.8815115395
9416.787878787878,985702.3830088251
9535.948484848484,989243.1748474403
9655.10909090909,992751.9579482209
9774.269696969697,996229.409795351
9893.430303030304,999676.1854947894
10012.59090909091,1003092.9187727846
10131.751515151514,1006480.2229185337
10250.91212121212,1009838.6916747254
10370.072727272727,1013168.9000794314
10489.233333333334,1016471.4052625124
10608.39393939394,1019746.7471994938
10727.554545454546,1022995.4494256352
10846.71515151515,1026218.0197126989
10965.875757575757,1029414.9507107709
11085.036363636364,1032586.720557279
11204.19696969697,1035733.7934552345
11323.357575757576,1038856.6202225509
11442.518181818183,1041955.6388141786
11561.678787878787,1045031.2748186685
11680.839393939394,1048083.9419306683
11800,1051114.0424007438
