m_C,disp_dist
7.6,9412.408767717377
39805.84929292929,374476.1684515607
79604.09858585859,485547.7743958019
119402.34787878788,563744.1262898869
159200.59717171718,626017.0681113141
198998.84646464649,678565.9762335281
238797.09575757576,724446.0319353035
278595.345050505,765416.4010666438
318393.5943434343,802594.019612826
358191.8436363636,836737.6982440234
397990.09292929294,868389.2721560213
437788.3422222222,897950.7372200948
477586.5915151515,925729.5358956453
517384.8408080808,951966.6774022515
557183.09010101,976855.0053184091
596981.3393939394,1000551.5143283629
636779.5886868687,1023185.9177754823
676577.837979798,1044866.7676369419
716376.0872727273,1065685.9273602122
756174.3365656566,1085721.9067168508
795972.5858585859,1105042.3921788957
835770.8351515151,1123706.1969531593
875569.0844444444,1141764.7847641546
915367.3337373737,1159263.4754846215
955165.583030303,1176242.409834669
994963.8323232323,1192737.329221299
1034762.0816161616,1208780.2120405785
1074560.330909091,1224399.7973084718
1114358.5802020202,1239622.018962086
1154156.8294949497,1254470.368684079
1193955.0787878789,1268966.2010480263
1233753.3280808083,1283128.9917519467
1273551.5773737375,1296976.5574178156
1313349.8266666667,1310525.2436880267
1353148.075959596,1323790.087004475
1392946.3252525253,1336784.9544108773
1432744.5745454547,1349522.66490051
1472542.823838384,1362015.0951857031
1512341.0731313133,1374273.2722521345
1552139.3224242425,1386307.454650289
1591937.571717172,1398127.2041457118
1631735.8210101011,1409741.449081871
1671534.0703030303,1421158.540591169
1711332.3195959597,1432386.3026109613
1751130.568888889,1443432.076514302
1790928.8181818184,1454302.7610434422
1830727.0674747475,1465004.8481329933
1870525.316767677,1475544.4551252539
1910323.5660606062,1485927.3538094652
1950121.8153535353,1496158.9966572365
1989920.0646464648,1506244.5405761017
2029718.313939394,1516188.8684605446
2069516.5632323234,1525996.608783568
2109314.812525253,1535672.1534409276
2149113.061818182,1545219.6740336546
2188911.311111111,1554643.136751713
2228709.5604040404,1563946.3160020297
2268507.8096969696,1573132.806907196
2308306.0589898992,1582206.0367864417
2348104.3082828284,1591169.275717752
2387902.5575757576,1600025.6462688718
2427700.806868687,1608778.1324752716
2467499.0561616165,1617429.588134631
2507297.3054545457,1625982.7444800057
2547095.554747475,1634440.2172872452
2586893.804040404,1642804.5134665319
2626692.053333333,1651078.0371827583
2666490.302626263,1659263.0955450304
2706288.551919192,1667361.9039015474
2746086.8012121213,1675376.590772593
2785885.0505050505,1683309.202451233
2825683.29979798,1691161.7072984877
2865481.5490909093,1698935.9997572592
2905279.7983838385,1706633.9041070628
2945078.0476767677,1714257.1779795883
2984876.296969697,1721807.5156533362
3024674.5462626265,1729286.551143951
3064472.7955555557,1736695.8611054285
3104271.044848485,1744036.9675560596
3144069.294141414,1751311.3404417925
3183867.5434343438,1758520.4000486424
3223665.792727273,1765665.5192747854
3263464.042020202,1772748.025772139
3303262.2913131313,1779769.2039663966
3343060.5406060605,1786730.296963805
3382858.78989899,1793632.5083522813
3422657.0391919194,1800477.0039039094
3462455.2884848486,1807264.9131852775
3502253.5377777778,1813997.3310816472
3542051.787070707,1820675.319240493
3581850.0363636366,1827299.9074395124
3621648.285656566,1833872.0948838699
3661446.534949495,1840392.8514370515
3701244.784242424,1846863.118789418
3741043.033535354,1853283.8115682357
3780841.282828283,1859655.8183927122
3820639.532121212,1865980.002877299
3860437.7814141414,1872257.204586309
3900236.0307070706,1878488.2399426976
3940034.28,1884673.9030936302
