db,original,gbif.binomial,gbif.key,rank,status,matchType,phylum,class,family,genus,species
dispdb,Vulpes vulpes,Vulpes vulpes,5219243,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Canidae,Vulpes,Vulpes vulpes
dispdb,Aplodontia rufa,Aplodontia rufa,2439690,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Aplodontiidae,Aplodontia,Aplodontia rufa
dispdb,Marmota flaviventris,Marmota flaviventris,2437369,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Sciuridae,Marmota,Marmota flaviventris
dispdb,Castor canadensis,Castor canadensis,2439838,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Castoridae,Castor,Castor canadensis
dispdb,Mellivora capensis,Mellivora capensis,2433695,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Mustelidae,Mellivora,Mellivora capensis
dispdb,Puma concolor,Puma concolor,2435099,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Felidae,Puma,Puma concolor
dispdb,Canis lupus,Canis lupus,5219173,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Canidae,Canis,Canis lupus
dispdb,Canis mesomelas,Canis mesomelas,5219216,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Canidae,Canis,Canis mesomelas
dispdb,Crocuta crocuta,Crocuta crocuta,5218781,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Hyaenidae,Crocuta,Crocuta crocuta
dispdb,Lepus europaeus,Lepus europaeus,7952072,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Leporidae,Lepus,Lepus europaeus
dispdb,Hylobates lar,Hylobates lar,5219553,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Hylobatidae,Hylobates,Hylobates lar
dispdb,Chlorocebus aethiops,Chlorocebus aethiops,2436566,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Cercopithecidae,Chlorocebus,Chlorocebus aethiops
dispdb,Ursus americanus,Ursus americanus,2433407,SPECIES,ACCEPTED,EXACT,Chordata,Mammalia,Ursidae,Ursus,Ursus americanus
